nom_commune;latitude;longitude
Gernicourt;49.4;3.866667
Gizy;49.6;3.766667
Goudelancourt-lès-Berrieux;;
Goudelancourt-lès-Pierrepont;;
Grandrieux;49.733333;4.183333
Guignicourt;49.433333;3.966667
Guyencourt;49.35;3.833333
Jumigny;49.416667;3.716667
Juvincourt-et-Damary;49.45;3.9
La Fère;49.666667;3.366667
La Malmaison;49.516667;3.983333
Laniscourt;49.55;3.55
Laon;49.566667;3.616667
Lappion;49.616667;3.966667
La Selve;49.566667;4
Laval-en-Laonnois;49.5;3.6
La Ville-aux-Bois-lès-Dizy;;
La Ville-aux-Bois-lès-Pontavert;;
Les Autels;49.766667;4.2257
Le Thuel;;
Lierval;49.483333;3.616667
Liesse-Notre-Dame;;
Lislet;49.683333;4.016667
Lizy;49.516667;3.466667
Lor;49.533333;4.05
Mâchecourt;49.658333;3.841667
Maizy;49.383333;3.733333
Marchais;49.583333;3.816667
Martigny-Courpierre;49.483333;3.683333
Mauregny-en-Haye;49.533333;3.8
Mayot;49.7;3.383333
Menneville;49.416667;4
Merlieux-et-Fouquerolles;49.516667;3.5
Mesbrecourt-Richecourt;49.7;3.55
Meurival;49.35;3.766667
Missy-lès-Pierrepont;49.633333;3.8
Molinchart;49.566667;3.533333
Monampteuil;49.483333;3.566667
Monceau-lès-Leups;49.666667;3.483333
Mons-en-Laonnois;;
Montaigu;49.533333;3.833333
Montbavin;49.533333;3.516667
Montchâlons;49.516667;3.733333
Montcornet;;
Monthenault;49.483333;3.666667
Montigny-sur-Crécy;49.716667;3.583333
Montloué;49.666667;4.066667
Morgny-en-Thiérache;49.766667;4.066667
Mortiers;49.683333;3.666667
Moulins;49.416667;3.683333
Moussy-Verneuil;49.416667;3.633333
Muscourt;49.366667;3.75
Neufchâtel-sur-Aisne;49.433333;4.033333
Neuville-sur-Ailette;49.466667;3.7
Nizy-le-Comte;49.566667;4.05
Noircourt;49.666667;4.1
Nouvion-et-Catillon;49.7;3.483333
Nouvion-le-Comte;49.683333;3.466667
Nouvion-le-Vineux;49.5;3.616667
OEuilly;49.383333;3.683333
Orainville;49.383333;4.016667
Orgeval;49.516667;3.7
Oulches-la-Vallée-Foulon;49.433333;3.75
Paissy;49.416667;3.7
Pancy-Courtecon;49.466667;3.65
Parfondeval;49.733333;4.166667
Parfondru;49.533333;3.716667
Pargnan;49.4;3.7
Pargny-les-Bois;49.716667;3.616667
Pignicourt;49.416667;4.033333
Pinon;49.483333;3.45
Ployart-et-Vaurseine;;
Pontavert;49.416667;3.816667
Pouilly-sur-Serre;49.683333;3.583333
Prémontré;49.55;3.4
Presles-et-Thierny;49.516667;3.616667
Prouvais;49.466667;3.983333
Proviseux-et-Plesnoy;49.466667;4
Raillimont;49.708333;4.15
Remies;49.683333;3.533333
Renneval;49.733333;4.05
Résigny;49.733333;4.2
Rogécourt;49.633333;3.416667
Roucy;49.366667;3.816667
Rouvroy-sur-Serre;49.716667;4.166667
Royaucourt-et-Chailvet;49.516667;3.533333
Rozoy-sur-Serre;49.716667;4.133333
Sainte-Croix;49.483333;3.783333
Sainte-Geneviève;;
Sainte-Preuve;49.616667;3.916667
Saint-Erme-Outre-et-Ramecourt;49.516667;3.85
Saint-Gobain;49.6;3.383333
Saint-Nicolas-aux-Bois;49.6;3.416667
Saint-Thomas;49.5;3.816667
Samoussy;49.583333;3.733333
Servais;49.616667;3.35
Sissonne;49.566667;3.9
Soize;49.7;4.083333
Suzy;49.55;3.466667
Travecy;49.683333;3.35
